ID Φορέα,Φορέας,ID Ειδικού Φορέα,Ειδικός Φορέας,ΚΑΕ,ΚΑΕ λεπτομέρειες,Ψηφ.Προϋπολογισμος 2013,Πληρωμές 2013,Ψηφ.Προϋπολογισμος 2014,Διαμόρφωση 2014,Αυξήσεις 2014,Μειώσεις 2014,Ποσό Διάθεσης 2014,Ποσοστό διάθεσης 2014,Πληρωμές 2014,Εντάλματα 2014
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5172,Δαπάνες πληρωμής τόκων του αρθρ.3 ν.2120/93,200.00,5.08,200.00,200.00,,,100.00,50.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5195,Οικονομικά κίνητρα απόσυρσης οχημάτων για την αντι,200.00,,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5293,Κάθε είδους δαπάνες της καταργηθείσας Ανώνυμης Εταιρείας ΕΟΜ,,154.35,,2.000.06,2.000.06,,2.000.06,100.00%,613.28,661.80
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5296,Εξόφληση απαιτήσεων φορέων παροχής υπηρεσιών υγείας λόγω νοσ,,3.803.16,,106.00,106.00,,106.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5512,Παρακρατήσεις μεταβιβάσεων Υπουργείου Διοικητικής Μεταρρύθμι,,,,20.00,20.00,,20.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5513,Παρακρατήσεις μεταβιβάσεων Υπουργείου Εσωτερικών,,,,62.742.45,70.008.89,-7.266.44,62.742.45,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5514,Παρακρατήσεις μεταβιβάσεων Υπουργείου Εξωτερικών,,,,70.00,70.00,,70.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5516,Παρακρατήσεις μεταβιβάσεων Υπουργείου Υγείας,,,,75.937.93,165.000.00,-89.062.07,75.937.93,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5517,Παρακρατήσεις μεταβιβάσεων Υπουργείου Δικαιοσύνης.Διαφάνειας,,,,10.00,10.00,,10.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5518,Παρακρατήσεις μεταβιβάσεων Υπουργείου Παιδείας καιΘρησκευμάτ,,,,451.19,500.00,-48.81,451.19,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5519,Παρακρατήσεις μεταβιβάσεων Υπουργείου Πολιτισμού και Αθλητισ,,,,2.193.84,2.200.00,-6.16,2.193.84,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5521,Παρακρατήσεις μεταβιβάσεων Υπουργείου Οικονομικών,,,,1.483.61,1.500.00,-16.39,1.483.61,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5522,Παρακρατήσεις μεταβιβάσεων Υπουργείου Μακεδονίας και Θράκης,,,,80.00,80.00,,80.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5523,Παρακρατήσεις μεταβιβάσεων Υπουργείου Αγροτικής Ανάπτυξης κα,,,,3.000.00,3.000.00,,3.000.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5524,Παρακρατήσεις μεταβιβάσεων Υπουργείου Περιβάλλοντος. Ενέργει,,,,500.00,500.00,,500.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5525,Παρακρατήσεις μεταβιβάσεων Υπουργείου Εργασίας. Κοινωνικής Α,,,,16.799.74,17.000.00,-200.26,16.799.74,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5526,Παρακρατήσεις μεταβιβάσεων Υπουργείου Ανάπτυξης και Ανταγωνι,,,,448.36,500.00,-51.64,448.36,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5527,Παρακρατήσεις μεταβιβάσεων Υπουργείου Υποδομών. Μεταφορών κα,,,,12.488.78,12.500.00,-11.22,12.488.78,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ5531,Παρακρατήσεις μεταβιβάσεων Υπουργείου Τουρισμού,,,,1.683.08,1.700.00,-16.92,841.54,50.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6111,Τόκοι ομολόγων στην αγορά εσωτερικού,3.860.000.00,2.999.945.21,2.805.000.00,2.527.814.70,,-277.185.30,2.527.814.70,100.00%,1.139.873.23,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6121,Τόκοι ομολόγων στις αγορές εξωτερικού,164.000.00,188.981.11,127.000.00,135.487.84,8.487.84,,135.487.84,100.00%,44.235.69,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6122,Τόκοι τιτλοποιήσεων εξωτερικού,3.000.00,1.713.35,1.300.00,1.300.00,,,1.300.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6131,Τόκοι εντόκων γραμματίων του Ελληνικού Δημοσίου,670.000.00,613.928.56,600.000.00,450.000.00,,-150.000.00,450.000.00,100.00%,198.999.56,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6132,Τόκοι εντόκων γραμματίων του Ελληνικού Δημοσίου (φυσικοί πόρ,5.000.00,5.498.97,5.300.00,5.300.00,,,5.300.00,100.00%,1.131.56,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6151,Τόκοι δανείων Τράπεζας της Ελλάδος,80.200.00,79.965.36,50.000.00,50.000.00,,,50.000.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6152,Τόκοι λοιπών δανείων εσωτερικού,5.400.00,5.391.23,5.300.00,5.300.00,,,5.300.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6161,Τόκοι ειδικών και διακρατικών δανείων,307.000.00,315.076.50,272.000.00,272.000.00,,,272.000.00,100.00%,7.843.25,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6162,Τόκοι δανείων μηχανισμού στήριξης,3.605.900.00,1.627.211.29,2.100.000.00,2.100.000.00,,,2.100.000.00,100.00%,910.024.16,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6163,Τόκοι λοιπών δανείων εξωτερικού,171.500.00,170.925.34,164.100.00,164.100.00,,,164.100.00,100.00%,87.326.52,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6172,Υπερτίμημα από πώληση τίτλων με σύμφωνο επαναγοράς,,,,3.429.73,3.429.73,,3.429.73,100.00%,4.652.25,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6193,Πληρωμές τόκων συμφωνιών ανταλλαγής επιτοκίων,,873.417.24,,537.187.44,537.187.44,,537.187.44,100.00%,566.776.43,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6211,Χρεωλύσια ομολόγων στην αγορά εσωτερικού,8.354.919.00,8.352.918.98,16.486.000.00,16.424.230.66,,-61.769.35,16.424.230.66,100.00%,11.163.908.91,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6219,Προαγορά χρεωλυσίων ομολόγων εσωτερικού,,847.00,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6221,Χρεωλύσια ομολόγων στις αγορές εξωτερικού,1.680.000.00,1.625.465.20,160.000.00,160.000.00,,,160.000.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6222,Χρεωλύσια τιτλοποιήσεων εξωτερικού,59.480.00,59.479.22,23.500.00,23.500.00,,,23.500.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6231,Χρεολύσια εντόκων γραμματίων του Ελληνικού Δημοσί,39.998.000.00,44.702.717.00,40.050.000.00,40.050.000.00,,,40.050.000.00,100.00%,16.462.763.00,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6232,Χρεωλύσια εντόκων γραμματίων του,2.000.00,1.423.33,2.000.00,2.000.00,,,2.000.00,100.00%,1.760.82,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6251,Χρεωλύσια δανείων Τράπεζας της Ελλάδος,472.240.00,472.243.94,472.300.00,472.300.00,,,472.300.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6252,Χρεωλύσια λοιπών δανείων εσωτερικού,3.000.00,3.000.00,3.000.00,3.000.00,,,3.000.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6261,Χρεωλύσια ειδικών και διακρατικών δανείων,332.000.00,328.441.41,310.000.00,310.000.00,,,310.000.00,100.00%,18.273.35,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6262,Χρεωλύσια δανείων μηχανισμού στήριξης,1.761.000.00,1.672.356.36,7.302.000.00,7.302.000.00,,,7.302.000.00,100.00%,1.950.702.22,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6263,Χρεωλύσια λοιπών δανείων εξωτερικού,182.361.00,177.893.02,173.200.00,173.200.00,,,173.200.00,100.00%,83.715.91,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6272,Εξόφληση πώλησης τίτλων με σύμφωνο επαναγοράς,,,,5.010.257.57,5.010.257.57,,5.010.257.57,100.00%,14.429.848.58,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6292,Πληρωμές κεφαλαίου αρχικής συμφωνίας ανταλλαγής Δανείων,,1.133.678.57,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6293,Πληρωμές χρεολυσίων συμφωνίας ανταλλαγής Ομολόγων,,,,432.484.40,432.484.40,,432.484.40,100.00%,344.460.19,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6294,Πληρωμές χρεολυσίων συμφωνίας ανταλλαγής Δανείων,,1.076.313.48,,836.146.38,836.146.38,,836.146.38,100.00%,1.272.705.54,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6311,Προμήθειες και έξοδα γενικά τραπεζών για συνομολόγ,28.000.00,43.148.31,20.000.00,34.307.66,14.307.66,,34.307.66,100.00%,34.285.44,21.39
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6314,Προμήθειες. έξοδα κ.λπ. επί των τιτλοποιήσεων μελλ,,20.00,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6316,Προμήθειες εκταμίευσης δανείων από το Ευρωπαϊκό Ταμείο Χρημα,75.000.00,126.560.00,70.000.00,70.000.00,,,70.000.00,100.00%,31.500.00,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6421,Πληρωμή λόγω εγγυήσεων για ιδιώτες. επιχειρήσεις και φορείς,469.000.00,365.356.10,233.000.00,232.212.40,,-787.60,232.212.40,100.00%,17.669.80,2.776.78
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6422,Υποχρεώσεις του Δημοσίου από εγγυήσεις του Οργανισ,,,,787.60,787.60,,787.60,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6423,Πληρωμή λόγω εγγυήσεων για δημόσιες επιχειρήσεις. οργανισμού,1.657.000.00,1.592.602.22,1.000.000.00,1.000.000.00,,,1.000.000.00,100.00%,499.508.47,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6512,Τακτοποίηση ελλειμμάτων δημόσιων διαχειρίσεων,10.00,0.25,10.00,10.00,,,10.00,100.00%,2.35,2.35
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6811,Δαπάνες για τακτοποίηση οφειλών παλαιών διαχειρίσε,100.000.00,,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6822,Εξόφληση υποχρεώσεων των εταιρειών της παρ.5 του άρθρου 1 το,,5.158.26,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ6921,Υποχρεώσεις προηγούμενων οικονομικών ετών φορέων Γενικής Κυβ,3.500.000.00,,1.500.000.00,796.021.40,,-703.978.60,398.010.70,50.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ7211,Αποζημίωση ιδιοκτητών ακινήτων. που απαλλοτριώνοντ,1.000.00,,1.000.00,1.100.00,100.00,,1.100.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ7219,Αποζημίωση ιδιοκτητών ακινήτων που απαλλοτριώνοντα,1.000.00,1.320.04,1.000.00,900.00,,-100.00,450.00,50.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ7313,Έξοδα συμμετοχής σε αυξήσεις μετοχικού κεφαλαίου. αγορά μετο,100.500.00,7.237.565.00,100.000.00,100.000.00,,,100.000.00,100.00%,11.126.83,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ7314,Έξοδα συμμετοχής σε αυξήσεις μετοχικού κεφαλαίου. αγορά μετο,,,500.00,500.00,,,500.00,100.00%,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ7315,Έξοδα από συμμετοχή της χώρας στο κεφάλαιο ΔιεθνώνΟργανισμών,901.350.00,901.344.12,451.000.00,451.000.00,,,451.000.00,100.00%,450.672.06,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Ξ9821,Υποχρεώσεις από παροχή τηλεπικοινωνιακών υπηρεσιών(τέλη. μισ,,,,8.207.00,8.207.00,,8.207.00,100.00%,8.206.22,8.206.22
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,200,Γενικές κρατικές δαπάνες,Αποτέλεσμα,,77.932.469.00,85.077.767.54,83.793.932.00,89.890.664.63,8.004.282.57,-1.907.549.94,89.372.062.45,99.42%,54.223.667.15,3.072.593.99
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0283,Αποζημίωση προσωπικού που απολύεται. συνταξιοδοτείται ή κατα,,118.26,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0288,Καταβολή αποδοχών. επιδομάτων κ.λπ. παρελθόντων   ετών σε εκ,,64.95,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0511,Αποζημίωση για υπερωριακή εργασία,10.00,,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0512,Αμοιβή για εργασία κατά τις εξαιρέ,14.00,,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0711,Εξοδα μετακίνησης στο εσωτερ,180.00,62.09,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0813,Μισθώματα κτιρίων,800.00,456.60,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0823,Ταχυδρομικά,5.00,0.81,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0824,Υποχρεώσεις από παροχή τηλεπικοινωνιακών υπηρεσιών(τέλη. μισ,,2.34,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0826,Δαπάνες κινητής τηλεφωνίας,,0.34,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0829,Λοιπές μεταφορές,50.00,28.49,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0831,Υδρευση και άρδευση,10.00,14.50,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0832,Ηλεκτρική ενέργεια,,6.37,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0841,Διαφημίσεις και δημοσιεύσεις γενικά,5.00,0.28,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0843,Εκδόσεις – εκτυπώσεις – β,2.00,,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0851,Αμοιβές για συντήρηση και επισκευή κτιρίων γενικά.εγκαταστάσ,2.00,1.23,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0861,Αμοιβές για συντήρηση και επισκευή,,1.14,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0869,Αμοιβές για συντήρηση και επισκευή λοιπού εξοπλι,,5.99,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0871,Αμοιβές φυσικών προσώπων,10.00,9.00,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0873,Αμοιβές νομικών προσώπων,130.00,63.16,,,,,,,,
000/23,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΟΙΚΟΝ,610,Οικονομική Επιθεώρηση. Υ.Ε.Ε.Α.Δ.. Υ.Δ.Ε,Ξ0875,Αμοιβές για δαπάνες καθαριότητας (συμπεριλαμβάνο  νται φυσικ,95.00,10.57,,,,,,,,
